code,name,line,address,latitude,longitude,type,,insert,insert query,"현재 위도,경도,지도 값 비어있으면 안나오게 필터 걸어놓음"
4703,419민주묘지,UI,,,,,,,,
1907,가능,1,경기도 의정부시 평화로 633,37.748577,127.044213,2,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (","insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.748577, 127.044213,  ""가능"",  ""경기도 의정부시 평화로 633"", 1907, ""1"");",
340,가락시장,3,서울특별시 송파구 송파대로 지하 257,37.492522,127.118234,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.492522, 127.118234,  ""가락시장"",  ""서울특별시 송파구 송파대로 지하 257"", 340, ""3"");",
2818,가락시장,8,서울특별시 송파구 송파대로 지하 257,37.492522,127.118234,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.492522, 127.118234,  ""가락시장"",  ""서울특별시 송파구 송파대로 지하 257"", 2818, ""8"");",
1702,가산디지털단지,1,서울특별시 금천구 벚꽃로 309,37.481072,126.882343,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.481072, 126.882343,  ""가산디지털단지"",  ""서울특별시 금천구 벚꽃로 309"", 1702, ""1"");",
2748,가산디지털단지,7,서울특별시 금천구 벚꽃로 309,37.481072,126.882343,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.481072, 126.882343,  ""가산디지털단지"",  ""서울특별시 금천구 벚꽃로 309"", 2748, ""7"");",
4107,가양,9,서울특별시 강서구 양천로 지하 485,37.561391,126.854456,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.561391, 126.854456,  ""가양"",  ""서울특별시 강서구 양천로 지하 485"", 4107, ""9"");",
4704,가오리,UI,,,,,,,,
3216,가재울,I2,인천광역시 서구 가좌동 288,37.484192,126.683673,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.484192, 126.683673,  ""가재울"",  ""인천광역시 서구 가좌동 288"", 3216, ""I2"");",
3211,가정,I2,인천광역시 서구 가정동 116-5,37.524649,126.675539,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.524649, 126.675539,  ""가정"",  ""인천광역시 서구 가정동 116-5"", 3211, ""I2"");",
3212,가정중앙시장,I2,인천광역시 서구 가정동 529,37.517054,126.676672,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517054, 126.676672,  ""가정중앙시장"",  ""인천광역시 서구 가정동 529"", 3212, ""I2"");",
1265,가좌,K,서울특별시 서대문구 수색로 27,37.568491,126.915487,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.568491, 126.915487,  ""가좌"",  ""서울특별시 서대문구 수색로 27"", 1265, ""K"");",
1851,가천대,B,경기도 성남시 수정구 성남대로 지하 1332,37.448605,127.126697,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.448605, 127.126697,  ""가천대"",  ""경기도 성남시 수정구 성남대로 지하 1332"", 1851, ""B"");",
1323,가평,G,경기도 가평군 가평읍 문화로 13-42,37.814536,127.510739,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.814536, 127.510739,  ""가평"",  ""경기도 가평군 가평읍 문화로 13-42"", 1323, ""G"");",
1816,간석,1,인천광역시 남동구 석정로 522-14,37.464737,126.694181,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.464737, 126.694181,  ""간석"",  ""인천광역시 남동구 석정로 522-14"", 1816, ""1"");",
3123,간석오거리,I,인천광역시 남동구 경인로 지하 642,37.467048,126.707938,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.467048, 126.707938,  ""간석오거리"",  ""인천광역시 남동구 경인로 지하 642"", 3123, ""I"");",
1312,갈매,G,경기도 구리시 갈매동 경춘북로 229,37.634118,127.114757,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.634118, 127.114757,  ""갈매"",  ""경기도 구리시 갈매동 경춘북로 229"", 1312, ""G"");",
3117,갈산,I,인천광역시 부평구 부평대로 지하 286,37.517268,126.721514,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517268, 126.721514,  ""갈산"",  ""인천광역시 부평구 부평대로 지하 286"", 3117, ""I"");",
222,강남,2,서울특별시 강남구 강남대로 지하 396,37.497175,127.027926,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.497175, 127.027926,  ""강남"",  ""서울특별시 강남구 강남대로 지하 396"", 222, ""2"");",
4307,강남,S,서울특별시 강남구 강남대로 지하 396,37.497175,127.027926,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.497175, 127.027926,  ""강남"",  ""서울특별시 강남구 강남대로 지하 396"", 4307, ""S"");",
1849,강남구청,B,서울특별시 강남구 학동로 지하 346,37.517186,127.04128,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517186, 127.04128,  ""강남구청"",  ""서울특별시 강남구 학동로 지하 346"", 1849, ""B"");",
2732,강남구청,7,서울특별시 강남구 학동로 지하 346,37.517186,127.04128,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.517186, 127.04128,  ""강남구청"",  ""서울특별시 강남구 학동로 지하 346"", 2732, ""7"");",
4502,강남대,E,경기도 용인시 기흥구 중부대로 578,37.270161,127.126033,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.270161, 127.126033,  ""강남대"",  ""경기도 용인시 기흥구 중부대로 578"", 4502, ""E"");",
2549,강동,5,서울특별시 강동구 천호대로 지하 1097,37.535804,127.132481,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.535804, 127.132481,  ""강동"",  ""서울특별시 강동구 천호대로 지하 1097"", 2549, ""5"");",
2813,강동구청,8,서울특별시 강동구 올림픽로 지하 550,37.530341,127.120508,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.530341, 127.120508,  ""강동구청"",  ""서울특별시 강동구 올림픽로 지하 550"", 2813, ""8"");",
1269,강매,K,경기도 고양시 덕양구 소원로 202,37.612314,126.843223,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.612314, 126.843223,  ""강매"",  ""경기도 고양시 덕양구 소원로 202"", 1269, ""K"");",
214,강변,2,서울특별시 광진구 강변역로 53,37.535095,127.094681,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.535095, 127.094681,  ""강변"",  ""서울특별시 광진구 강변역로 53"", 214, ""2"");",
